Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
950,0,0,0,0,0.001345704,0,0,0.000852994,0,0,0,0,0,0.003563024,0.000745521,0.513167393,0.27329543,2.20E-06,1.21E-06,7.87E-07
949,0,0,0,0,0.001540806,0,0,0.000888988,0,0,0,0,0,0.003690823,0.000678054,0.51351494,0.27360757,2.21E-06,1.23E-06,7.94E-07
948,0,0,0,0,0.001631343,0,0,0.000898601,0,0,0,0,0,0.003733372,0.000721712,0.513797816,0.273916891,2.21E-06,1.24E-06,7.99E-07
947,0,0,0,0,0.001715227,0,0,0.000913353,0,0,0,0,0,0.003824857,0.000730692,0.514024052,0.274206066,2.22E-06,1.25E-06,8.04E-07
946,0,0,0,0,0.001734569,0,0,0.000918102,0,0,0,0,0,0.003922701,0.000752451,0.514126331,0.274394196,2.22E-06,1.26E-06,8.08E-07
945,0,0,0,0,0.001778237,0,0,0.000931315,0,0,0,0,0,0.003995408,0.000803659,0.514312897,0.27471306,2.22E-06,1.27E-06,8.15E-07
944,0,0,0,0,0.001799188,0,0,0.000949065,0,0,0,0,0,0.004086229,0.000825513,0.514495067,0.275010898,2.22E-06,1.30E-06,8.21E-07
943,0,0,0,0,0.001798836,0,0,0.000963471,0,0,0,0,0,0.0042254,0.000911619,0.514539218,0.275223417,2.22E-06,1.32E-06,8.26E-07
942,0,0,0,0,0.001827941,0,0,0.000971431,0,0,0,0,0,0.004324146,0.000950618,0.51472634,0.275468143,2.22E-06,1.36E-06,8.31E-07
941,0,0,0,0,0.001872787,0,0,0.000984591,0,0,0,0,0,0.004414649,0.001053394,0.51487345,0.275763695,2.23E-06,1.38E-06,8.37E-07
940,0,0,0,0,0.0018763,0,0,0.000985652,0,0,0,0,0,0.00454915,0.001078267,0.515015825,0.276013822,2.23E-06,1.41E-06,8.42E-07
939,0,0,0,0,0.001911631,0,0,0.000985307,0,0,0,0,0,0.004684271,0.00116029,0.515131377,0.276242924,2.23E-06,1.43E-06,8.48E-07
938,0,0,0,0,0.001934606,0,0,0.000979735,0,0,0,0,0,0.00477894,0.001194657,0.515269333,0.276424924,2.24E-06,1.44E-06,8.54E-07
937,0,0,0,0,0.001951698,0,0,0.00098284,0,0,0,0,0,0.004899579,0.001308768,0.515287024,0.276691037,2.24E-06,1.46E-06,8.60E-07
936,0,0,0,0,0.001975448,0,0,0.000994832,0,0,0,0,0,0.00501107,0.001390981,0.515491428,0.277050624,2.25E-06,1.48E-06,8.65E-07
935,0,0,0,0,0.002026598,0,0,0.001007408,0,0,0,0,0,0.005113574,0.001516105,0.515656015,0.277304725,2.25E-06,1.51E-06,8.69E-07
934,0,0,0,0,0.002038017,0,0,0.001019082,0,0,0,0,0,0.005236053,0.001588445,0.515811532,0.277622381,2.25E-06,1.52E-06,8.71E-07
933,0,0,0,0,0.002090634,0,0,0.001032666,0,0,0,0,0,0.005355673,0.001703126,0.515971875,0.277952178,2.25E-06,1.55E-06,8.76E-07
932,0,0,0,0,0.002120185,0,0,0.001046516,0,0,0,0,0,0.005468148,0.001789327,0.516136462,0.278176228,2.25E-06,1.58E-06,8.80E-07
931,0,0,0,0,0.002128981,0,0,0.001065486,0,0,0,0,0,0.005609425,0.001883882,0.516269744,0.278413266,2.26E-06,1.60E-06,8.85E-07
930,0,0,0,0,0.002130059,0,0,0.001072251,0,0,0,0,0,0.005743607,0.00195926,0.516345177,0.278591422,2.26E-06,1.62E-06,8.91E-07
929,0,0,0,0,0.002151794,0,0,0.001091911,0,0,0,0,0,0.005871621,0.002024385,0.516434291,0.278758527,2.26E-06,1.65E-06,8.95E-07
