Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
950,0.032078525,0.015582404,0.020890482,0.002533802,0.049219222,0.028492299,0.014324713,0.009455611,0.027131061,0.006510493,0.013525643,0.026515196,0.023459246,0.023458061,0.018958436,0.094103672,0.039777883,0.033191727,0.233453273,0.010899566
949,0.032110646,0.015598856,0.02091263,0.002536192,0.049315344,0.028512538,0.014353701,0.009475148,0.027168014,0.006518303,0.013556795,0.026559623,0.023466041,0.023457089,0.019002738,0.094115507,0.039815785,0.03325302,0.233892585,0.010909817
948,0.032142186,0.01561538,0.020933032,0.002538591,0.049414141,0.02853312,0.014381659,0.009494464,0.027204793,0.00652583,0.013587486,0.026603377,0.023470453,0.023456464,0.019047674,0.094137357,0.039855489,0.033314727,0.234312617,0.010920162
947,0.032174108,0.015631868,0.020953652,0.002541012,0.049513086,0.028553751,0.014409952,0.009513691,0.027241399,0.006533499,0.013618336,0.026647243,0.023475308,0.023456648,0.019093243,0.094153312,0.03989374,0.033376148,0.234736505,0.010930601
946,0.032206031,0.015648466,0.020973997,0.00254344,0.049611586,0.028574675,0.014437885,0.009532917,0.027278194,0.006541167,0.013649187,0.02669054,0.023478831,0.023457123,0.019138811,0.094173663,0.039933373,0.033437569,0.235148824,0.010941039
945,0.032237954,0.015665228,0.020994343,0.002545921,0.049710532,0.028596375,0.014465963,0.009552367,0.027314468,0.006548694,0.013680037,0.026734176,0.023482355,0.023457307,0.019186279,0.094194921,0.039972008,0.033497731,0.235569876,0.010951478
944,0.032269876,0.015681825,0.021014688,0.00254831,0.049809031,0.02861774,0.014494256,0.009571817,0.027350741,0.006556362,0.013711001,0.026777462,0.023487363,0.023457936,0.019231847,0.094210876,0.040011256,0.033557893,0.235993763,0.010962058
943,0.032302066,0.015698588,0.021035033,0.0025507,0.049904641,0.02863944,0.014522479,0.009591043,0.027387015,0.006564031,0.013741964,0.026820529,0.023491204,0.02345812,0.019277416,0.094231226,0.040048786,0.033617783,0.236406083,0.010972496
942,0.032333476,0.015715185,0.021055379,0.00255309,0.049999805,0.028661139,0.014551063,0.009610493,0.027423289,0.0065717,0.013773105,0.026863596,0.023495046,0.023458596,0.019322984,0.094253372,0.040088418,0.033677945,0.236827134,0.010982935
941,0.032364538,0.015731947,0.021075999,0.00255548,0.050095415,0.028682839,0.014579646,0.009629765,0.027459671,0.006579226,0.013804246,0.026906881,0.02349904,0.02345878,0.019368553,0.094270234,0.040126669,0.033738107,0.237251022,0.010993515
